Tag,Sentences
['Other'],"Consequently, Australian society is now experiencing a high dem and 
for a skilled labour force, and an increasing sector of the population without such skills is 
suffering long-term unemployment."
['Other'],"The change  experienced in such a relatively short 
period of time leads to the question: what do the next fifty-five years hold?"
['Other'],"4. 
Recommendation"
"['Workforce Demographics', 'Women in the Workforce', 'Employment Shifts and Categories']","The information collected for this report provides a broad overview of key changes in the 
Australian workforce."
['Other'],"Further analysis would be possible if the relevant data for each 
year from 1945-2000 was purchased from the Australian Bureau of Statistics."
['Other'],"The 
reliance on secondary sources has resulted in some patchy data."
"['Workforce Demographics', 'Employment Shifts and Categories']","For example, it is not 
possible to identify for any given year a breakdown of the Australian workforce by the 
following categories:  
• unmarried Australia-born women 
• married Australia-born women 
• unmarried Australia-born men 
• married Australia-born men 
• unmarried immigrant women 
• married immigrant women 
• unmarried immigrant men 
• married immigrant men 
 
Greater access to primary data would enable a more thorough analysis to be made."
['Unemployment Trends'],"Version 1.0 
Concurrent Study 
Research Report 
Page 10 
 
5. 
Reference List 
 
 
Australian Bureau of Statistics 1997, 
Australians, Employment and Unemployment 
Patterns: 1994-1997, ABS, Canberra."
['Other'],"Australian Bureau of Statistics 1999, Year Book Australia 1998, ABS, Canberra."
['Other'],"Carroll, B. 1989, Australians at Work through 200 Years, Kangaroo Press, Sydney."
['Other'],"Game, A. and Pringle, R. 1983, Gender at Work, George Allen & Unwin Australia Pt y 
Ltd, North Sydney."
['Other'],"Norris, K. and W ooden, M. (eds.)"
['Other'],"1996, 
The Changing Australian Labour Market, 
Economic Planning Ad visory Committee, Australian Governm ent Publishing Service, 
Canberra."
['Other'],"Ryan, E. and Conlon, A. 1989 (1975), 
Gentle Invaders: Australian Women at Work, 
Penguin Books Australia, Ringwood."
['Migrant Workers'],"VandenHeuvel, A. and Wooden, M. 1996, Non-English-speaking-background immigrant 
women and part-time work, Bureau of I mmigration, Multicultural and Population 
Research, Carlton South."
['Migrant Workers'],"Victorian Ethnic Affairs Comm ission 1984, Migrants and the Workforce, VEAC, 
Melbourne."
['Women in the Workforce'],"Zajdow, G. 1995, Women and Work - Current Issues and Debates, Deakin University 
Press, Geelong."
['Other'],"Version 1.0 
Concurrent Study 
Research Report 
Page 11 
6."
['Other'],"Appendix 
 
 
 
Appendix A: Employment by Industry, 1970-1995 (% of total employment) 
 
 
1970 
1975 
1980 
1985 
1990 
1995 
Agriculture 
and 
mining 
9.6 
8.2 
7.8 
7.7 
6.6 
6.0 
Manufacturing 
24.5"
['Other'],"21.6 
19.7 
16.7 
15.3 
13.6 
Utilities, 
construction, 
transport 
& 
communication 
18.1 
18.3 
17.2 
17.1 
15.8 
14.7 
Services 
47.8 
52.0 
55.4 
58.6 
62.3 
65.7 
 
Table from Norris and Wooden 1996, p. 6. 
 
 
Version 1.0 
Concurrent Study 
Research Report 
Page 12"
